unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A1_DCH,MED_E,AL	: 	1616 	2054 	1823 	1532 	1149 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,AT	12052 b	11795 	15043 	12440 	11907 	12009 	11963 	11767 	10515 	11258 	12037 	11413 	11650 	11477 	10744 b	8780 	9815 	9887 	9109 	9100 
EUR,A1_DCH,MED_E,BE	14993 b	13823 	13325 	13051 b	10895 	10727 	10060 	10391 	8729 	8450 	8685 	8351 	8941 	9234 	8311 	7927 	9503 	7333 	5406 	7678 
EUR,A1_DCH,MED_E,BG	3070 b	2777 	2684 	2368 	2674 	2121 	1677 b	1979 	1731 	1984 	1518 	2001 	1802 	2099 	1271 	1196 	838 	: 	: 	: 
EUR,A1_DCH,MED_E,CH	29434 	26105 	23427 	22039 	23266 	24756 	27064 	23800 	24330 b	24181 	23842 	20148 	19165 	17573 	17970 	16632 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,CY	10666 b	8708 	9435 	11274 	8003 	7251 	7753 	7865 	7540 	9286 	10590 	10602 	9868 	8363 	7430 b	8944 	8187 	7150 	: 	: 
EUR,A1_DCH,MED_E,CZ	8068 b	6535 	6886 	6717 	6021 	5197 	4679 	4643 	4288 	5123 	4876 	4394 	4094 	4166 	3107 	2711 	2276 	1881 	: 	: 
EUR,A1_DCH,MED_E,DE	12162 b	11415 	12676 b	13726 	11205 	11031 	10954 	10942 	11174 	9422 	9065 	8148 	7717 	8263 	7696 	8235 	7715 	9150 	: 	: 
EUR,A1_DCH,MED_E,DK	19961 b	18997 	20651 b	21435 	19827 	19226 	19796 	17739 	17235 	16848 	18209 	17028 b	16561 	15782 	16045 	15864 	14369 	13893 	13344 	12985 
EUR,A1_DCH,MED_E,EA	: 	10248 	11070 b	11592 	10332 e	10292 e	9983 e	9997 e	10100 e	9418 e	9176 e	8991 e	8432 e	8935 e	8686 e	: 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,EA18	: 	: 	11152 b	11699 	10417 	10384 	10065 	10076 	10100 	9368 	9122 	8934 	8355 	8859 	8554 	8279 	7983 	8135 	: 	: 
EUR,A1_DCH,MED_E,EA19	: 	10248 	11070 b	11592 	10332 	10292 	9983 	9997 	10018 	9278 	9044 	8832 	8285 	8773 	8471 	8196 	7891 	8023 	: 	: 
EUR,A1_DCH,MED_E,EA20	11184 	10288 	11041 	11562 	10303 	10261 	9955 	9972 	10068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MED_E,EE	9300 	7586 	7798 	6395 	6021 	6007 	5645 	4648 	4520 b	4070 	3758 	3914 	3348 	3761 	3405 	2454 	1969 	1534 	1228 	: 
